Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,83,11.76,14.01,-0.019,0.863,-8.14,11.47,-30.62,14.35,78.78,78.38,86.92,88.21,-8.14,-10.3,11.84
s28,vid_s28_T1.avi,manual,G,83,10.03,12.21,0.034,0.763,-8.11,9.18,-26.12,9.89,78.8,78.96,86.92,88.21,-8.11,-8.86,9.68
s28,vid_s28_T1.avi,manual,B,83,11.79,13.85,0.11,0.323,-10.78,8.75,-27.93,6.37,76.14,75.52,86.92,88.21,-10.78,-12.4,12.4
s28,vid_s28_T1.avi,manual,GREY_W,83,10.88,13.06,0.028,0.802,-8.58,9.9,-27.99,10.83,78.34,78.39,86.92,88.21,-8.58,-9.91,10.4
s28,vid_s28_T1.avi,manual,GREY_A,83,11.33,13.48,0.048,0.667,-9.15,9.97,-28.68,10.39,77.77,77.83,86.92,88.21,-9.15,-10.63,10.63
s28,vid_s28_T1.avi,manual,PCA_1,83,11.31,13.45,0.057,0.608,-9.29,9.78,-28.47,9.88,77.62,77.36,86.92,88.21,-9.29,-10.92,10.92
s28,vid_s28_T1.avi,manual,PCA_2,83,11.27,13.26,0.014,0.901,-5.74,12.03,-29.31,17.84,81.18,79.8,86.92,88.21,-5.74,-9.26,11.44
s28,vid_s28_T1.avi,manual,PCA_3,83,5.0,6.07,0.062,0.575,0.95,6.03,-10.87,12.77,87.86,87.65,86.92,88.21,0.95,1.32,4.58
s28,vid_s28_T1.avi,manual,ZCA_1,83,9.48,11.68,-0.017,0.879,-6.77,9.57,-25.53,11.99,80.15,81.03,86.92,88.21,-6.77,-6.35,8.23
s28,vid_s28_T1.avi,manual,ZCA_2,83,5.06,6.01,0.01,0.930,0.47,6.03,-11.34,12.28,87.39,87.19,86.92,88.21,0.47,1.02,4.29
s28,vid_s28_T1.avi,manual,ZCA_3,83,6.12,7.31,0.164,0.139,-2.64,6.86,-16.09,10.8,84.27,85.14,86.92,88.21,-2.64,-3.48,5.25
