Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,83,10.54,12.37,-0.055,0.623,-7.18,10.13,-27.03,12.66,79.73,79.24,86.92,88.21,-7.18,-9.16,10.95
s28,vid_s28_T1.avi,manual,G,83,8.88,10.73,-0.023,0.839,-6.93,8.24,-23.08,9.22,79.99,80.58,86.92,88.21,-6.93,-7.71,8.78
s28,vid_s28_T1.avi,manual,B,83,10.43,12.11,0.05,0.654,-9.25,7.88,-24.68,6.19,77.67,77.74,86.92,88.21,-9.25,-11.41,11.41
s28,vid_s28_T1.avi,manual,GREY_W,83,9.61,11.44,-0.023,0.840,-7.41,8.77,-24.59,9.77,79.51,80.14,86.92,88.21,-7.41,-8.15,9.45
s28,vid_s28_T1.avi,manual,GREY_A,83,10.02,11.8,-0.0,1.000,-7.95,8.78,-25.16,9.27,78.97,79.53,86.92,88.21,-7.95,-9.08,9.98
s28,vid_s28_T1.avi,manual,PCA_1,83,10.01,11.8,0.001,0.994,-7.96,8.77,-25.14,9.23,78.96,79.55,86.92,88.21,-7.96,-9.13,9.97
s28,vid_s28_T1.avi,manual,PCA_2,83,10.81,12.09,0.067,0.549,-7.51,9.54,-26.2,11.18,79.41,77.36,86.92,88.21,-7.51,-9.75,10.65
s28,vid_s28_T1.avi,manual,PCA_3,83,4.62,5.68,0.094,0.397,-0.22,5.71,-11.41,10.97,86.7,86.77,86.92,88.21,-0.22,0.67,4.07
s28,vid_s28_T1.avi,manual,ZCA_1,83,9.33,10.99,0.125,0.261,-7.21,8.36,-23.58,9.17,79.71,79.07,86.92,88.21,-7.21,-8.08,8.82
s28,vid_s28_T1.avi,manual,ZCA_2,83,4.51,5.54,0.053,0.637,-0.74,5.53,-11.57,10.09,86.17,85.88,86.92,88.21,-0.74,-0.27,4.07
s28,vid_s28_T1.avi,manual,ZCA_3,83,9.79,10.92,0.039,0.723,-7.6,7.89,-23.06,7.87,79.32,77.71,86.92,88.21,-7.6,-9.19,10.43
s28,vid_s28_T1.avi,manual,ICA_1,83,4.71,5.77,0.088,0.430,-0.19,5.81,-11.56,11.19,86.73,86.77,86.92,88.21,-0.19,0.3,4.09
s28,vid_s28_T1.avi,manual,ICA_2,83,9.73,11.56,-0.106,0.339,-5.58,10.19,-25.54,14.39,81.34,81.52,86.92,88.21,-5.58,-6.43,9.16
s28,vid_s28_T1.avi,manual,ICA_3,83,10.2,11.6,0.118,0.289,-7.83,8.61,-24.71,9.05,79.09,77.52,86.92,88.21,-7.83,-9.61,9.91
s28,vid_s28_T1.avi,manual,CHROM,83,4.44,5.52,0.073,0.510,0.01,5.55,-10.86,10.89,86.93,87.2,86.92,88.21,0.01,0.46,3.3
s28,vid_s28_T1.avi,manual,POS,83,4.29,5.31,0.143,0.197,-0.46,5.33,-10.9,9.98,86.46,85.97,86.92,88.21,-0.46,0.08,3.54
s28,vid_s28_T1.avi,none,R,83,10.94,12.48,-0.019,0.864,-9.39,8.27,-25.59,6.82,77.53,76.33,86.92,88.21,-9.39,-11.48,11.49
s28,vid_s28_T1.avi,none,G,83,10.23,11.61,-0.007,0.949,-8.69,7.75,-23.87,6.5,78.23,77.52,86.92,88.21,-8.69,-10.07,10.48
s28,vid_s28_T1.avi,none,B,83,12.41,13.72,-0.081,0.469,-11.4,7.68,-26.46,3.66,75.52,75.1,86.92,88.21,-11.4,-12.92,12.92
s28,vid_s28_T1.avi,none,GREY_W,83,10.82,12.17,-0.02,0.856,-9.33,7.87,-24.75,6.09,77.59,76.82,86.92,88.21,-9.33,-10.39,10.99
s28,vid_s28_T1.avi,none,GREY_A,83,11.28,12.63,-0.031,0.782,-9.94,7.84,-25.3,5.42,76.98,76.44,86.92,88.21,-9.94,-11.1,11.2
s28,vid_s28_T1.avi,none,PCA_1,83,11.28,12.63,-0.031,0.781,-9.94,7.84,-25.3,5.42,76.98,76.44,86.92,88.21,-9.94,-11.1,11.2
s28,vid_s28_T1.avi,none,PCA_2,83,9.02,10.59,-0.217,0.049,-0.69,10.63,-21.52,20.14,86.23,86.14,86.92,88.21,-0.69,-2.71,8.38
s28,vid_s28_T1.avi,none,PCA_3,83,6.58,8.25,0.106,0.339,-2.08,8.03,-17.81,13.66,84.84,85.89,86.92,88.21,-2.08,-2.71,5.46
s28,vid_s28_T1.avi,none,ZCA_1,83,7.41,8.89,-0.091,0.416,-2.76,8.5,-19.43,13.91,84.16,85.07,86.92,88.21,-2.76,-3.2,7.26
s28,vid_s28_T1.avi,none,ZCA_2,83,6.9,8.58,0.097,0.381,-2.68,8.2,-18.74,13.39,84.24,85.71,86.92,88.21,-2.68,-2.83,5.82
s28,vid_s28_T1.avi,none,ZCA_3,83,7.65,9.06,-0.373,<0.001,-1.93,8.9,-19.38,15.52,84.99,85.96,86.92,88.21,-1.93,-3.52,6.85
s28,vid_s28_T1.avi,none,ICA_1,83,6.43,8.08,0.097,0.381,-1.76,7.93,-17.31,13.78,85.15,86.1,86.92,88.21,-1.76,-2.45,5.24
