Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,79,55.3,55.47,-0.154,0.174,-55.3,4.33,-63.78,-46.82,30.22,30.33,85.52,84.82,-55.3,-54.89,54.89
s28,vid_s28_T1.avi,manual,G,80,55.69,55.89,0.139,0.217,-55.69,4.72,-64.95,-46.43,29.96,29.98,85.65,84.94,-55.69,-55.08,55.08
s28,vid_s28_T1.avi,manual,B,80,52.92,53.21,-0.153,0.175,-52.92,5.55,-63.79,-42.05,32.73,32.52,85.65,84.94,-52.92,-53.44,53.44
s28,vid_s28_T1.avi,manual,GREY_W,80,53.99,54.23,-0.013,0.908,-53.99,5.21,-64.21,-43.77,31.66,30.57,85.65,84.94,-53.99,-53.94,53.94
s28,vid_s28_T1.avi,manual,GREY_A,80,54.43,54.66,0.063,0.578,-54.43,5.03,-64.3,-44.56,31.22,30.43,85.65,84.94,-54.43,-54.2,54.2
s28,vid_s28_T1.avi,manual,PCA_1,80,54.37,54.6,0.082,0.472,-54.37,5.04,-64.25,-44.49,31.28,30.43,85.65,84.94,-54.37,-54.12,54.12
s28,vid_s28_T1.avi,manual,PCA_2,81,57.21,57.44,0.027,0.810,-57.21,5.19,-67.38,-47.04,28.48,27.16,85.69,84.94,-57.21,-57.38,57.38
s28,vid_s28_T1.avi,manual,PCA_3,81,4.93,5.71,-0.178,0.112,1.99,5.38,-8.56,12.54,87.69,87.56,85.7,85.02,1.99,2.94,4.89
s28,vid_s28_T1.avi,manual,ZCA_1,81,54.3,54.5,0.325,0.003,-54.3,4.71,-63.54,-45.06,31.42,29.65,85.72,85.1,-54.3,-54.01,54.01
s28,vid_s28_T1.avi,manual,ZCA_2,81,5.55,6.37,-0.249,0.025,2.58,5.86,-8.92,14.07,88.25,88.78,85.67,84.96,2.58,3.3,5.27
s28,vid_s28_T1.avi,manual,ZCA_3,81,3.67,4.97,0.038,0.738,-2.1,4.53,-10.98,6.77,83.56,82.27,85.67,84.95,-2.1,-0.82,2.26
s28,vid_s28_T1.avi,manual,ICA_1,81,4.83,5.62,-0.072,0.524,1.95,5.3,-8.44,12.34,87.62,87.4,85.67,84.95,1.95,2.63,4.82
s28,vid_s28_T1.avi,manual,ICA_2,80,58.68,58.84,0.138,0.224,-58.68,4.38,-67.27,-50.09,26.94,26.74,85.62,84.91,-58.68,-57.62,57.62
s28,vid_s28_T1.avi,manual,ICA_3,81,nan,nan,nan,nan,nan,6.09,-71.7,-47.85,nan,nan,85.69,84.96,nan,nan,nan
s28,vid_s28_T1.avi,manual,CHROM,81,4.54,5.64,0.017,0.879,-0.4,5.66,-11.5,10.69,85.31,83.71,85.72,85.13,-0.4,0.83,3.51
s28,vid_s28_T1.avi,manual,POS,81,4.98,5.68,-0.21,0.059,1.79,5.43,-8.84,12.43,87.47,86.66,85.67,84.97,1.79,2.09,5.36
s28,vid_s28_T1.avi,none,R,80,61.17,61.3,0.166,0.141,-61.17,4.02,-69.05,-53.29,24.42,23.85,85.59,84.91,-61.17,-60.75,60.75
s28,vid_s28_T1.avi,none,G,78,62.5,62.64,0.187,0.102,-62.5,4.09,-70.53,-54.48,22.87,22.16,85.38,84.67,-62.5,-62.99,62.99
s28,vid_s28_T1.avi,none,B,78,63.81,63.91,0.167,0.143,-63.81,3.66,-70.98,-56.64,21.57,21.69,85.38,84.66,-63.81,-63.86,63.86
s28,vid_s28_T1.avi,none,GREY_W,78,62.62,62.74,0.149,0.192,-62.62,4.02,-70.5,-54.74,22.76,22.65,85.38,84.66,-62.62,-63.01,63.01
s28,vid_s28_T1.avi,none,GREY_A,78,62.27,62.38,0.199,0.081,-62.27,3.86,-69.84,-54.69,23.11,22.65,85.38,84.66,-62.27,-62.54,62.54
s28,vid_s28_T1.avi,none,PCA_1,78,62.38,62.5,0.17,0.137,-62.38,3.99,-70.2,-54.55,23.0,22.65,85.38,84.66,-62.38,-62.68,62.68
s28,vid_s28_T1.avi,none,PCA_2,81,57.26,57.71,0.461,<0.001,-57.26,7.28,-71.54,-42.98,28.44,24.09,85.7,84.96,-57.26,-59.05,59.05
s28,vid_s28_T1.avi,none,PCA_3,81,4.28,5.98,-0.083,0.459,-4.04,4.44,-12.74,4.65,81.67,81.82,85.71,85.12,-4.04,-2.62,2.62
s28,vid_s28_T1.avi,none,ZCA_1,81,21.11,23.73,-0.244,0.028,-21.11,10.92,-42.5,0.29,64.61,65.67,85.72,85.03,-21.11,-18.83,18.83
s28,vid_s28_T1.avi,none,ZCA_2,81,3.51,4.69,0.087,0.441,-1.94,4.3,-10.36,6.48,83.77,82.86,85.71,85.12,-1.94,-0.55,2.56
s28,vid_s28_T1.avi,none,ZCA_3,81,51.77,52.0,0.531,<0.001,-51.77,4.87,-61.32,-42.22,33.94,31.81,85.72,85.12,-51.77,-51.13,51.13
s28,vid_s28_T1.avi,none,ICA_1,80,52.38,52.58,0.314,0.005,-52.38,4.61,-61.41,-43.35,33.27,31.71,85.65,84.92,-52.38,-53.46,53.46
s28,vid_s28_T1.avi,none,ICA_2,81,5.47,6.63,0.42,<0.001,-5.41,3.86,-12.98,2.16,80.3,80.98,85.71,85.12,-5.41,-5.08,5.08
s28,vid_s28_T1.avi,none,ICA_3,81,45.58,45.93,0.148,0.188,-45.58,5.67,-56.7,-34.46,40.12,40.63,85.7,85.0,-45.58,-45.65,45.65
s28,vid_s28_T1.avi,none,CHROM,80,4.13,5.5,-0.092,0.417,-2.98,4.65,-12.09,6.12,82.61,81.78,85.59,84.91,-2.98,-2.11,3.18
s28,vid_s28_T1.avi,none,POS,81,3.64,4.81,0.123,0.274,-1.52,4.59,-10.52,7.49,84.16,82.7,85.68,85.02,-1.52,-0.01,3.08
s28,vid_s28_T1.avi,face_track,R,79,50.44,50.54,0.45,<0.001,-50.44,3.28,-56.86,-44.02,35.03,34.49,85.47,84.9,-50.44,-50.21,50.21
s28,vid_s28_T1.avi,face_track,G,81,47.52,47.67,0.313,0.004,-47.52,3.8,-54.96,-40.08,38.2,37.94,85.72,85.06,-47.52,-46.72,46.72
s28,vid_s28_T1.avi,face_track,B,81,45.84,45.95,0.601,<0.001,-45.84,3.27,-52.25,-39.42,39.88,39.39,85.72,85.06,-45.84,-46.02,46.02
s28,vid_s28_T1.avi,face_track,GREY_W,81,50.34,50.46,0.548,<0.001,-50.34,3.49,-57.18,-43.51,35.35,35.22,85.7,84.9,-50.34,-50.14,50.14
s28,vid_s28_T1.avi,face_track,GREY_A,81,49.89,50.02,0.297,0.007,-49.89,3.72,-57.18,-42.6,35.81,35.33,85.7,84.9,-49.89,-49.09,49.09
s28,vid_s28_T1.avi,face_track,PCA_1,81,49.9,50.01,0.494,<0.001,-49.9,3.39,-56.53,-43.26,35.8,35.14,85.7,84.9,-49.9,-49.4,49.4
s28,vid_s28_T1.avi,face_track,PCA_2,81,34.43,34.89,-0.032,0.775,-34.43,5.66,-45.52,-23.34,51.25,52.23,85.68,85.03,-34.43,-35.92,35.92
s28,vid_s28_T1.avi,face_track,PCA_3,81,5.08,6.02,-0.383,<0.001,1.68,5.82,-9.73,13.09,87.39,87.59,85.71,85.1,1.68,2.59,4.77
s28,vid_s28_T1.avi,face_track,ZCA_1,81,28.87,29.26,-0.077,0.495,-28.87,4.8,-38.27,-19.46,56.81,56.02,85.67,84.97,-28.87,-28.21,28.21
s28,vid_s28_T1.avi,face_track,ZCA_2,81,4.76,5.58,-0.156,0.164,1.43,5.42,-9.19,12.06,87.14,86.26,85.7,85.01,1.43,2.42,4.45
s28,vid_s28_T1.avi,face_track,ZCA_3,81,5.92,7.82,-0.161,0.152,-5.62,5.46,-16.33,5.09,80.07,80.43,85.7,84.92,-5.62,-3.55,3.55
s28,vid_s28_T1.avi,face_track,ICA_1,81,4.95,5.91,-0.329,0.003,1.53,5.75,-9.73,12.79,87.24,87.63,85.71,85.09,1.53,2.15,4.34
