Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,,34,15.33,19.04,0.025,0.889,-11.54,15.37,-41.67,18.59,77.33,76.09,88.86,88.06,-11.54,-10.45,11.97
s28,vid_s28_T1.avi,manual,G,,34,14.03,18.17,-0.075,0.674,-11.17,14.54,-39.67,17.33,77.69,77.51,88.86,88.06,-11.17,-8.08,9.58
s28,vid_s28_T1.avi,manual,B,,34,16.61,20.22,-0.038,0.832,-14.82,13.96,-42.19,12.55,74.05,73.94,88.86,88.06,-14.82,-13.8,13.8
s28,vid_s28_T1.avi,manual,GREY_W,,34,14.83,18.7,-0.023,0.895,-11.87,14.67,-40.63,16.89,76.99,76.63,88.86,88.06,-11.87,-9.69,10.73
s28,vid_s28_T1.avi,manual,GREY_A,,34,15.48,19.14,-0.003,0.989,-12.68,14.55,-41.21,15.85,76.18,75.83,88.86,88.06,-12.68,-10.55,12.25
s28,vid_s28_T1.avi,manual,PCA_1,,34,15.57,19.2,-0.008,0.962,-12.86,14.47,-41.23,15.51,76.0,75.2,88.86,88.06,-12.86,-10.72,12.41
s28,vid_s28_T1.avi,manual,PCA_2,,34,13.76,19.32,-0.184,0.297,-8.43,17.64,-43.01,26.14,80.43,80.52,88.86,88.06,-8.43,-4.0,7.72
s28,vid_s28_T1.avi,manual,PCA_3,,34,8.92,10.99,0.195,0.27,-0.77,11.13,-22.57,21.04,88.1,88.16,88.86,88.06,-0.77,0.2,8.28
s28,vid_s28_T1.avi,manual,ZCA_1,,34,13.05,17.8,-0.139,0.435,-9.52,15.27,-39.44,20.4,79.34,80.76,88.86,88.06,-9.52,-8.18,8.79
s28,vid_s28_T1.avi,manual,ZCA_2,,34,9.06,11.4,0.083,0.641,-1.32,11.49,-23.85,21.2,87.54,87.93,88.86,88.06,-1.32,-0.89,8.73
s28,vid_s28_T1.avi,manual,ZCA_3,,34,10.07,13.12,0.061,0.731,-4.67,12.45,-29.06,19.72,84.19,85.18,88.86,88.06,-4.67,-0.78,8.88
s28,vid_s28_T1.avi,manual,Best_ICA_1,,34,8.9,10.96,0.204,0.247,-0.78,11.09,-22.53,20.96,88.08,87.6,88.86,88.06,-0.78,0.09,8.64
s28,vid_s28_T1.avi,manual,ICA_2,,34,13.92,18.41,0.023,0.897,-10.33,15.47,-40.65,19.99,78.53,78.05,88.86,88.06,-10.33,-7.65,9.77
s28,vid_s28_T1.avi,manual,ICA_3,,34,13.75,18.8,-0.336,0.052,-10.66,15.72,-41.46,20.15,78.21,78.59,88.86,88.06,-10.66,-4.85,9.46
s28,vid_s28_T1.avi,manual,CHROM,,34,9.69,11.6,-0.021,0.908,0.15,11.78,-22.94,23.23,89.01,88.7,88.86,88.06,0.15,1.16,9.28
s28,vid_s28_T1.avi,manual,POS,,34,9.56,11.62,-0.024,0.893,0.94,11.76,-22.1,23.99,89.81,89.39,88.86,88.06,0.94,1.25,9.05
s28,vid_s28_T1.avi,none,R,,34,16.79,20.07,0.035,0.845,-14.67,13.9,-41.92,12.58,74.2,74.09,88.86,88.06,-14.67,-16.25,17.59
s28,vid_s28_T1.avi,none,G,,34,15.88,19.56,-0.036,0.841,-13.73,14.14,-41.45,13.99,75.14,75.18,88.86,88.06,-13.73,-14.92,17.19
s28,vid_s28_T1.avi,none,B,,34,18.83,21.6,0.079,0.658,-17.62,12.68,-42.47,7.23,71.24,70.49,88.86,88.06,-17.62,-18.65,18.65
s28,vid_s28_T1.avi,none,GREY_W,,34,16.51,20.0,-0.002,0.993,-14.6,13.88,-41.81,12.61,74.27,74.65,88.86,88.06,-14.6,-16.17,17.0
s28,vid_s28_T1.avi,none,GREY_A,,34,17.16,20.43,0.026,0.884,-15.48,13.53,-42.0,11.05,73.39,73.62,88.86,88.06,-15.48,-16.71,17.56
s28,vid_s28_T1.avi,none,PCA_1,,34,17.12,20.4,0.025,0.887,-15.41,13.56,-41.99,11.17,73.45,73.72,88.86,88.06,-15.41,-16.72,17.53
s28,vid_s28_T1.avi,none,PCA_2,,34,14.13,17.17,-0.295,0.09,-4.56,16.81,-37.5,28.39,84.31,83.29,88.86,88.06,-4.56,-3.7,14.06
s28,vid_s28_T1.avi,none,PCA_3,,34,10.78,12.71,0.224,0.203,-4.81,11.94,-28.22,18.6,84.05,85.5,88.86,88.06,-4.81,-5.98,11.39
s28,vid_s28_T1.avi,none,ZCA_1,,34,11.83,14.3,-0.006,0.975,-5.54,13.38,-31.76,20.69,83.33,84.76,88.86,88.06,-5.54,-5.48,10.45
s28,vid_s28_T1.avi,none,ZCA_2,,34,10.86,12.85,0.284,0.103,-4.34,12.28,-28.41,19.72,84.52,85.98,88.86,88.06,-4.34,-4.26,10.6
s28,vid_s28_T1.avi,none,ZCA_3,,34,11.96,15.41,-0.068,0.703,-8.0,13.37,-34.21,18.2,80.86,81.49,88.86,88.06,-8.0,-7.32,9.99
s28,vid_s28_T1.avi,none,ICA_1,,34,12.79,15.05,0.024,0.892,-6.9,13.58,-33.51,19.71,81.97,84.94,88.86,88.06,-6.9,-8.54,10.47
s28,vid_s28_T1.avi,none,ICA_2,,34,10.38,12.16,0.245,0.162,-3.79,11.73,-26.78,19.2,85.07,85.83,88.86,88.06,-3.79,-3.77,9.28
s28,vid_s28_T1.avi,none,Best_ICA_3,,34,13.06,16.39,-0.111,0.533,-8.09,14.47,-36.45,20.27,80.77,82.55,88.86,88.06,-8.09,-8.84,11.16
s28,vid_s28_T1.avi,none,CHROM,,34,9.44,11.75,0.068,0.703,-0.63,11.91,-23.97,22.71,88.24,87.97,88.86,88.06,-0.63,0.18,9.02
s28,vid_s28_T1.avi,none,POS,,34,10.2,11.93,0.034,0.849,-0.79,12.08,-24.47,22.89,88.08,88.05,88.86,88.06,-0.79,0.89,8.99
s28,vid_s28_T1.avi,face_track,R,,34,10.94,14.03,-0.012,0.947,-3.77,13.72,-30.65,23.12,85.1,86.82,88.86,88.06,-3.77,-1.82,8.55
