Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,,34,14.91,18.39,-0.004,0.984,-10.29,15.47,-40.6,20.02,78.57,77.04,88.86,88.06,-10.29,-8.83,13.16
s28,vid_s28_T1.avi,manual,G,,34,13.66,17.31,-0.059,0.741,-10.33,14.1,-37.96,17.31,78.54,79.38,88.86,88.06,-10.33,-10.3,10.78
s28,vid_s28_T1.avi,manual,B,,34,15.46,19.03,-0.03,0.866,-13.42,13.7,-40.27,13.43,75.44,75.24,88.86,88.06,-13.42,-12.38,12.97
s28,vid_s28_T1.avi,manual,GREY_W,,34,14.37,17.91,-0.03,0.868,-10.9,14.43,-39.18,17.38,77.97,78.02,88.86,88.06,-10.9,-10.68,12.28
s28,vid_s28_T1.avi,manual,GREY_A,,34,14.85,18.33,-0.019,0.914,-11.56,14.43,-39.85,16.73,77.3,77.21,88.86,88.06,-11.56,-11.11,12.87
s28,vid_s28_T1.avi,manual,PCA_1,,34,14.86,18.35,-0.022,0.9,-11.71,14.34,-39.82,16.39,77.15,77.15,88.86,88.06,-11.71,-11.24,12.91
s28,vid_s28_T1.avi,manual,PCA_2,,34,13.16,18.3,-0.152,0.392,-7.5,16.94,-40.7,25.7,81.36,79.9,88.86,88.06,-7.5,-4.0,8.02
s28,vid_s28_T1.avi,manual,PCA_3,,34,8.58,10.46,0.317,0.068,-0.39,10.61,-21.18,20.41,88.48,88.54,88.86,88.06,-0.39,-0.6,7.92
s28,vid_s28_T1.avi,manual,ZCA_1,,34,12.99,17.22,-0.16,0.367,-8.28,15.33,-38.32,21.76,80.59,81.62,88.86,88.06,-8.28,-6.98,10.29
s28,vid_s28_T1.avi,manual,ZCA_2,,34,8.69,10.89,0.204,0.248,-0.89,11.02,-22.49,20.71,87.98,88.15,88.86,88.06,-0.89,-0.58,8.21
s28,vid_s28_T1.avi,manual,ZCA_3,,34,9.9,13.03,0.044,0.803,-4.62,12.37,-28.86,19.63,84.25,85.36,88.86,88.06,-4.62,-1.3,8.02
s28,vid_s28_T1.avi,manual,Best_ICA_1,,34,8.53,10.35,0.343,0.047,-0.41,10.5,-21.0,20.17,88.45,88.41,88.86,88.06,-0.41,-0.45,7.87
s28,vid_s28_T1.avi,manual,ICA_2,,34,13.96,17.76,-0.024,0.892,-8.86,15.62,-39.47,21.74,80.0,81.35,88.86,88.06,-8.86,-7.49,10.0
s28,vid_s28_T1.avi,manual,ICA_3,,34,13.24,17.86,-0.284,0.103,-10.41,14.73,-39.28,18.46,78.46,77.72,88.86,88.06,-10.41,-4.56,10.99
s28,vid_s28_T1.avi,manual,CHROM,,34,9.24,11.15,0.101,0.569,0.45,11.3,-21.7,22.61,89.32,89.07,88.86,88.06,0.45,0.83,9.04
s28,vid_s28_T1.avi,manual,POS,,34,9.3,11.24,0.091,0.607,1.34,11.33,-20.86,23.55,90.21,89.3,88.86,88.06,1.34,1.36,9.4
s28,vid_s28_T1.avi,none,R,,34,15.78,18.79,0.054,0.76,-13.25,13.52,-39.75,13.24,75.61,75.51,88.86,88.06,-13.25,-14.31,15.62
s28,vid_s28_T1.avi,none,G,,34,14.9,18.14,0.051,0.773,-12.8,13.04,-38.36,12.76,76.06,76.07,88.86,88.06,-12.8,-14.98,14.98
s28,vid_s28_T1.avi,none,B,,34,17.63,20.2,0.113,0.526,-16.32,12.09,-40.01,7.38,72.55,72.22,88.86,88.06,-16.32,-16.47,16.47
s28,vid_s28_T1.avi,none,GREY_W,,34,15.53,18.6,0.063,0.725,-13.5,12.99,-38.96,11.96,75.36,75.61,88.86,88.06,-13.5,-14.77,14.77
s28,vid_s28_T1.avi,none,GREY_A,,34,16.15,19.04,0.075,0.674,-14.27,12.79,-39.34,10.8,74.59,74.88,88.86,88.06,-14.27,-14.64,14.64
s28,vid_s28_T1.avi,none,PCA_1,,34,16.11,19.01,0.074,0.677,-14.21,12.82,-39.33,10.92,74.66,74.95,88.86,88.06,-14.21,-14.62,14.62
s28,vid_s28_T1.avi,none,PCA_2,,34,12.42,14.81,-0.079,0.658,-4.11,14.44,-32.41,24.2,84.76,83.92,88.86,88.06,-4.11,-5.48,11.85
s28,vid_s28_T1.avi,none,PCA_3,,34,10.26,12.47,0.246,0.16,-4.91,11.64,-27.71,17.9,83.96,84.6,88.86,88.06,-4.91,-3.7,9.77
s28,vid_s28_T1.avi,none,ZCA_1,,34,11.34,13.52,0.06,0.736,-5.04,12.74,-30.0,19.92,83.82,85.74,88.86,88.06,-5.04,-5.99,10.15
s28,vid_s28_T1.avi,none,ZCA_2,,34,9.76,11.68,0.431,0.011,-4.3,11.03,-25.91,17.32,84.57,86.63,88.86,88.06,-4.3,-4.95,9.71
s28,vid_s28_T1.avi,none,ZCA_3,,34,11.53,14.9,-0.141,0.428,-7.31,13.18,-33.14,18.52,81.55,82.05,88.86,88.06,-7.31,-7.18,9.1
s28,vid_s28_T1.avi,none,ICA_1,,34,12.47,14.53,0.046,0.797,-6.27,13.31,-32.36,19.82,82.6,83.88,88.86,88.06,-6.27,-9.81,11.49
