Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,83,12.88,15.62,0.039,0.725,-9.53,12.44,-33.92,14.85,77.38,77.41,86.92,88.21,-9.53,-11.01,12.26
s28,vid_s28_T1.avi,manual,G,83,10.98,13.68,0.188,0.089,-9.86,9.54,-28.57,8.85,77.06,76.74,86.92,88.21,-9.86,-8.94,8.94
s28,vid_s28_T1.avi,manual,B,83,13.84,15.97,0.279,0.011,-13.54,8.53,-30.25,3.17,73.38,73.0,86.92,88.21,-13.54,-14.17,14.17
s28,vid_s28_T1.avi,manual,GREY_W,83,11.87,14.61,0.166,0.133,-10.41,10.31,-30.62,9.81,76.51,76.26,86.92,88.21,-10.41,-10.12,10.12
s28,vid_s28_T1.avi,manual,GREY_A,83,12.39,15.14,0.187,0.091,-11.21,10.24,-31.29,8.87,75.71,75.55,86.92,88.21,-11.21,-12.13,12.13
s28,vid_s28_T1.avi,manual,PCA_1,83,12.42,15.15,0.202,0.067,-11.44,10.0,-31.03,8.16,75.48,75.38,86.92,88.21,-11.44,-12.55,12.55
s28,vid_s28_T1.avi,manual,PCA_2,83,13.08,15.28,-0.035,0.754,-7.6,13.34,-33.74,18.55,79.32,77.71,86.92,88.21,-7.6,-10.92,12.94
s28,vid_s28_T1.avi,manual,PCA_3,83,5.27,6.39,0.139,0.209,1.79,6.17,-10.3,13.88,88.71,88.64,86.92,88.21,1.79,1.18,4.35
s28,vid_s28_T1.avi,manual,ZCA_1,83,10.84,13.28,-0.015,0.894,-7.87,10.76,-28.96,13.22,79.05,80.3,86.92,88.21,-7.87,-8.01,9.52
s28,vid_s28_T1.avi,manual,ZCA_2,83,5.15,6.13,0.118,0.289,1.17,6.05,-10.68,13.03,88.09,88.15,86.92,88.21,1.17,1.0,4.59
s28,vid_s28_T1.avi,manual,ZCA_3,83,6.72,8.19,0.176,0.111,-2.72,7.77,-17.95,12.51,84.2,85.65,86.92,88.21,-2.72,-2.79,5.44
s28,vid_s28_T1.avi,manual,ICA_1,83,5.3,6.47,0.125,0.261,1.77,6.26,-10.51,14.04,88.69,88.49,86.92,88.21,1.77,1.1,4.59
s28,vid_s28_T1.avi,manual,ICA_2,83,12.75,15.39,-0.094,0.399,-8.41,12.96,-33.82,16.99,78.51,77.49,86.92,88.21,-8.41,-11.08,12.16
s28,vid_s28_T1.avi,manual,ICA_3,83,10.8,12.99,0.303,0.005,-9.67,8.73,-26.78,7.45,77.25,75.57,86.92,88.21,-9.67,-11.99,12.0
s28,vid_s28_T1.avi,manual,CHROM,83,4.8,5.77,0.177,0.110,-0.42,5.79,-11.77,10.92,86.49,86.52,86.92,88.21,-0.42,-1.39,4.13
s28,vid_s28_T1.avi,manual,POS,83,4.9,5.76,0.214,0.052,1.44,5.61,-9.56,12.44,88.35,88.54,86.92,88.21,1.44,1.74,4.44
s28,vid_s28_T1.avi,none,R,83,13.69,16.32,0.077,0.487,-12.5,10.56,-33.2,8.21,74.42,73.92,86.92,88.21,-12.5,-14.52,14.52
s28,vid_s28_T1.avi,none,G,83,12.91,15.42,0.075,0.500,-12.04,9.7,-31.05,6.98,74.88,75.0,86.92,88.21,-12.04,-11.16,11.16
s28,vid_s28_T1.avi,none,B,83,15.95,17.86,0.139,0.211,-15.89,8.2,-31.96,0.18,71.02,70.06,86.92,88.21,-15.89,-17.61,17.61
s28,vid_s28_T1.avi,none,GREY_W,83,13.47,16.07,0.089,0.423,-12.82,9.75,-31.93,6.3,74.1,74.3,86.92,88.21,-12.82,-12.7,12.7
s28,vid_s28_T1.avi,none,GREY_A,83,14.02,16.58,0.106,0.341,-13.64,9.49,-32.23,4.96,73.28,72.49,86.92,88.21,-13.64,-14.22,14.22
s28,vid_s28_T1.avi,none,PCA_1,83,13.99,16.55,0.104,0.348,-13.56,9.54,-32.26,5.13,73.35,72.55,86.92,88.21,-13.56,-14.16,14.16
s28,vid_s28_T1.avi,none,PCA_2,83,10.01,12.57,-0.209,0.058,-2.45,12.4,-26.75,21.86,84.47,84.37,86.92,88.21,-2.45,-3.69,8.85
s28,vid_s28_T1.avi,none,PCA_3,83,7.13,9.07,0.112,0.314,-2.58,8.75,-19.73,14.57,84.33,85.67,86.92,88.21,-2.58,-3.03,5.29
