subject,recording,video,roi,mae,rmse,r,bias,sd,mean_gt,mean_rppg,mean_pair,diff,failure
2ea4,2ea4_Baseline,2ea4|2ea4_Baseline,poly,11.05,11.76,-0.545,11.05,4.16,62.84,73.89,68.36500000000001,-11.049999999999997,1
2ea4,2ea4_Breathing,2ea4|2ea4_Breathing,poly,18.36,19.83,0.198,18.36,7.56,59.99,78.34,69.165,-18.35,1
2ea4,2ea4_Counting1,2ea4|2ea4_Counting1,poly,2.86,3.76,0.131,2.78,2.63,71.7,74.48,73.09,-2.780000000000001,0
2ea4,2ea4_Counting2,2ea4|2ea4_Counting2,poly,1.74,2.19,-0.138,1.74,1.39,64.3,66.03,65.16499999999999,-1.730000000000004,0
2ea4,2ea4_Counting3,2ea4|2ea4_Counting3,poly,3.73,4.05,0.852,3.69,1.74,64.53,68.22,66.375,-3.6899999999999977,0
2ea4,2ea4_Math,2ea4|2ea4_Math,poly,9.92,10.54,-0.922,9.92,3.7,61.99,71.9,66.94500000000001,-9.910000000000004,0
2ea4,2ea4_Reading,2ea4|2ea4_Reading,poly,3.55,5.07,0.37,3.27,4.02,75.43,78.7,77.065,-3.269999999999996,0
2ea4,2ea4_Relax,2ea4|2ea4_Relax,poly,16.49,17.34,-0.33,16.49,5.44,58.62,75.11,66.865,-16.490000000000002,1
2ea4,2ea4_Speaking,2ea4|2ea4_Speaking,poly,5.85,6.39,-0.04,5.75,2.9,65.42,71.16,68.28999999999999,-5.739999999999995,0
2ea4,2ea4_Stroop,2ea4|2ea4_Stroop,poly,7.24,7.44,-0.546,7.24,1.79,60.23,67.47,63.849999999999994,-7.240000000000002,0
2ea4,2ea4_Video1,2ea4|2ea4_Video1,poly,20.46,21.17,0.109,20.46,5.48,56.7,77.17,66.935,-20.47,1
2ea4,2ea4_Video2,2ea4|2ea4_Video2,poly,16.15,16.52,-0.511,16.15,3.51,55.08,71.23,63.155,-16.150000000000006,1
2hpu,2hpu_Baseline,2hpu|2hpu_Baseline,poly,6.23,8.3,0.342,4.75,7.06,86.5,91.26,88.88,-4.760000000000005,0
2hpu,2hpu_Breathing,2hpu|2hpu_Breathing,poly,7.11,9.62,0.012,7.09,6.56,75.69,82.78,79.235,-7.090000000000003,0
2hpu,2hpu_Counting1,2hpu|2hpu_Counting1,poly,36.94,37.92,-0.941,-36.94,8.88,115.76,78.83,97.295,36.93000000000001,1
