Technique,Method,ROI,MAE (bpm),r,p,n
FFT,R,Full frame (baseline),26.55,-0.01,0.916,53
FFT,G,Full frame (baseline),15.29,0.15,0.284,53
FFT,B,Full frame (baseline),25.09,0.28,0.042,53
FFT,GREY Weight,Full frame (baseline),25.58,-0.11,0.423,53
FFT,GREY Avg,Full frame (baseline),28.73,0.05,0.715,53
FFT,PCA,Full frame (baseline),4.77,0.22,0.116,53
FFT,ZCA,Full frame (baseline),5.36,0.37,0.006,53
FFT,ICA,Full frame (baseline),5.3,0.37,0.007,53
FFT,CHROM,Full frame (baseline),4.86,-0.04,0.788,53
FFT,POS,Full frame (baseline),4.92,-0.05,0.733,53
FFT,R,Manual crop ROI,23.58,0.28,0.040,53
FFT,G,Manual crop ROI,18.72,0.18,0.185,53
FFT,B,Manual crop ROI,25.0,0.49,<0.001,53
FFT,GREY Weight,Manual crop ROI,22.16,0.31,0.026,53
FFT,GREY Avg,Manual crop ROI,24.2,0.3,0.030,53
FFT,PCA,Manual crop ROI,5.14,-0.11,0.422,53
FFT,ZCA,Manual crop ROI,4.75,-0.06,0.693,53
FFT,ICA,Manual crop ROI,5.2,-0.15,0.287,53
FFT,CHROM,Manual crop ROI,5.14,-0.1,0.462,53
FFT,POS,Manual crop ROI,5.35,-0.17,0.229,53
FFT,R,Face tracking (BlazeFace),18.18,-0.15,0.288,53
FFT,G,Face tracking (BlazeFace),19.49,-0.28,0.044,53
FFT,B,Face tracking (BlazeFace),17.68,-0.08,0.549,53
FFT,GREY Weight,Face tracking (BlazeFace),20.7,-0.31,0.023,53
FFT,GREY Avg,Face tracking (BlazeFace),19.64,-0.25,0.066,53
FFT,PCA,Face tracking (BlazeFace),4.95,-0.02,0.871,53
FFT,ZCA,Face tracking (BlazeFace),4.8,0.16,0.255,53
FFT,ICA,Face tracking (BlazeFace),5.63,-0.18,0.188,53
FFT,CHROM,Face tracking (BlazeFace),5.12,-0.06,0.667,53
FFT,POS,Face tracking (BlazeFace),5.37,-0.12,0.387,53
FFT,R,Face tracking (BlazeFace forehead),14.96,0.21,0.137,53
FFT,G,Face tracking (BlazeFace forehead),15.8,0.45,<0.001,53
FFT,B,Face tracking (BlazeFace forehead),15.13,0.43,0.001,53
FFT,GREY Weight,Face tracking (BlazeFace forehead),23.43,0.31,0.023,53
FFT,GREY Avg,Face tracking (BlazeFace forehead),22.21,0.31,0.024,53
FFT,PCA,Face tracking (BlazeFace forehead),5.83,-0.12,0.403,53
FFT,ZCA,Face tracking (BlazeFace forehead),7.27,0.47,<0.001,53
FFT,ICA,Face tracking (BlazeFace forehead),5.27,0.21,0.131,53
FFT,CHROM,Face tracking (BlazeFace forehead),5.09,-0.1,0.470,53
FFT,POS,Face tracking (BlazeFace forehead),5.03,-0.09,0.512,53
FFT,R,Polygonal forehead (Landmarker),17.69,0.04,0.769,53
FFT,G,Polygonal forehead (Landmarker),21.88,0.25,0.069,53
FFT,B,Polygonal forehead (Landmarker),19.39,0.21,0.126,53
FFT,GREY Weight,Polygonal forehead (Landmarker),26.58,0.13,0.338,53
FFT,GREY Avg,Polygonal forehead (Landmarker),21.75,0.27,0.052,53
FFT,PCA,Polygonal forehead (Landmarker),10.63,0.5,<0.001,53
FFT,ZCA,Polygonal forehead (Landmarker),8.81,0.22,0.122,53
FFT,ICA,Polygonal forehead (Landmarker),6.2,0.25,0.067,53
FFT,CHROM,Polygonal forehead (Landmarker),4.87,-0.09,0.519,53
FFT,POS,Polygonal forehead (Landmarker),5.31,0.09,0.511,53
FFT,R,Polygonal (Landmarker; forehead + cheeks),24.67,-0.11,0.448,53
FFT,G,Polygonal (Landmarker; forehead + cheeks),9.48,-0.1,0.493,53
FFT,B,Polygonal (Landmarker; forehead + cheeks),26.67,-0.14,0.325,53
FFT,GREY Weight,Polygonal (Landmarker; forehead + cheeks),15.12,-0.3,0.032,53
FFT,GREY Avg,Polygonal (Landmarker; forehead + cheeks),19.12,-0.08,0.576,53
FFT,PCA,Polygonal (Landmarker; forehead + cheeks),4.68,-0.02,0.900,53
FFT,ZCA,Polygonal (Landmarker; forehead + cheeks),4.75,0.14,0.327,53
FFT,ICA,Polygonal (Landmarker; forehead + cheeks),4.96,-0.14,0.319,53
FFT,CHROM,Polygonal (Landmarker; forehead + cheeks),4.91,-0.05,0.724,53
FFT,POS,Polygonal (Landmarker; forehead + cheeks),5.01,-0.11,0.434,53
WELCH,R,Full frame (baseline),23.09,0.12,0.391,53
WELCH,G,Full frame (baseline),15.22,0.27,0.053,53
WELCH,B,Full frame (baseline),20.83,0.26,0.057,53
WELCH,GREY Weight,Full frame (baseline),21.7,0.1,0.463,53
WELCH,GREY Avg,Full frame (baseline),23.6,0.12,0.408,53
WELCH,PCA,Full frame (baseline),5.05,-0.0,0.972,53
WELCH,ZCA,Full frame (baseline),5.43,-0.06,0.657,53
WELCH,ICA,Full frame (baseline),5.91,0.17,0.219,53
WELCH,CHROM,Full frame (baseline),5.24,-0.03,0.826,53
WELCH,POS,Full frame (baseline),5.28,0.13,0.370,53
WELCH,R,Manual crop ROI,22.23,0.18,0.208,53
WELCH,G,Manual crop ROI,15.96,0.18,0.201,53
WELCH,B,Manual crop ROI,23.57,0.19,0.166,53
WELCH,GREY Weight,Manual crop ROI,20.12,0.06,0.694,53
WELCH,GREY Avg,Manual crop ROI,22.24,0.14,0.308,53
WELCH,PCA,Manual crop ROI,5.21,-0.06,0.658,53
WELCH,ZCA,Manual crop ROI,5.42,-0.05,0.696,53
WELCH,ICA,Manual crop ROI,5.38,-0.07,0.644,53
WELCH,CHROM,Manual crop ROI,5.54,-0.02,0.868,53
WELCH,POS,Manual crop ROI,6.07,-0.03,0.812,53
WELCH,R,Face tracking (BlazeFace),20.59,-0.03,0.849,53
WELCH,G,Face tracking (BlazeFace),19.17,-0.24,0.081,53
WELCH,B,Face tracking (BlazeFace),19.96,-0.12,0.409,53
WELCH,GREY Weight,Face tracking (BlazeFace),24.49,-0.19,0.170,53
WELCH,GREY Avg,Face tracking (BlazeFace),23.5,-0.13,0.344,53
WELCH,PCA,Face tracking (BlazeFace),5.03,0.01,0.951,53
WELCH,ZCA,Face tracking (BlazeFace),5.73,-0.1,0.457,53
WELCH,ICA,Face tracking (BlazeFace),5.56,-0.11,0.437,53
WELCH,CHROM,Face tracking (BlazeFace),5.14,0.0,0.994,53
WELCH,POS,Face tracking (BlazeFace),6.47,-0.06,0.687,53
WELCH,R,Face tracking (BlazeFace forehead),13.79,0.38,0.005,53
WELCH,G,Face tracking (BlazeFace forehead),15.36,0.24,0.087,53
WELCH,B,Face tracking (BlazeFace forehead),13.14,0.32,0.018,53
WELCH,GREY Weight,Face tracking (BlazeFace forehead),22.57,0.22,0.111,53
WELCH,GREY Avg,Face tracking (BlazeFace forehead),20.17,0.3,0.031,53
WELCH,PCA,Face tracking (BlazeFace forehead),5.72,0.17,0.214,53
WELCH,ZCA,Face tracking (BlazeFace forehead),6.95,0.42,0.002,53
WELCH,ICA,Face tracking (BlazeFace forehead),6.03,-0.07,0.625,53
WELCH,CHROM,Face tracking (BlazeFace forehead),5.97,-0.01,0.920,53
WELCH,POS,Face tracking (BlazeFace forehead),5.99,-0.1,0.483,53
WELCH,R,Polygonal forehead (Landmarker),14.88,0.17,0.231,53
WELCH,G,Polygonal forehead (Landmarker),17.97,0.23,0.101,53
WELCH,B,Polygonal forehead (Landmarker),15.64,0.25,0.073,53
WELCH,GREY Weight,Polygonal forehead (Landmarker),27.26,0.04,0.754,53
WELCH,GREY Avg,Polygonal forehead (Landmarker),18.49,0.15,0.284,53
WELCH,PCA,Polygonal forehead (Landmarker),11.08,0.22,0.119,53
WELCH,ZCA,Polygonal forehead (Landmarker),9.96,-0.09,0.503,53
WELCH,ICA,Polygonal forehead (Landmarker),7.22,0.4,0.003,53
WELCH,CHROM,Polygonal forehead (Landmarker),5.79,0.28,0.041,53
WELCH,POS,Polygonal forehead (Landmarker),5.96,0.2,0.152,53
WELCH,R,Polygonal (Landmarker; forehead + cheeks),22.36,-0.13,0.361,53
WELCH,G,Polygonal (Landmarker; forehead + cheeks),11.23,-0.06,0.665,53
WELCH,B,Polygonal (Landmarker; forehead + cheeks),21.53,-0.14,0.304,53
WELCH,GREY Weight,Polygonal (Landmarker; forehead + cheeks),15.72,-0.01,0.934,53
WELCH,GREY Avg,Polygonal (Landmarker; forehead + cheeks),16.47,-0.05,0.705,53
