Technique,Method,ROI,MAE
fft,ica_2,none,16.19908142701508
fft,zca_1,none,16.86626769098819
fft,ica_1,manual,17.14590246490822
fft,zca_3,mesh_forehead,18.642386988949227
fft,g,poly,18.91178430860694
fft,pca_3,mesh_forehead,18.95801275954944
fft,ica_3,mesh_forehead,19.14193745026132
fft,zca_2,bbox_forehead,19.176170470963985
fft,pca_2,none,19.391024237748013
fft,r,face_track,20.20713550360159
fft,grey_w,poly,20.211336413698987
fft,pos,mesh_forehead,20.533799969880647
fft,grey_a,poly,20.64786102147958
fft,pca_1,poly,20.776016689840326
fft,chrom,mesh_forehead,20.817103082420886
fft,b,face_track,20.936986788077075
hilbert,g,none,10.302207778170981
hilbert,grey_w,none,10.849877078026228
hilbert,pca_2,mesh_forehead,10.961933353062236
hilbert,r,none,11.191915162191204
hilbert,grey_a,none,11.391472633733411
hilbert,b,none,11.497939644967277
hilbert,pca_1,none,11.500544602793907
hilbert,zca_3,poly,12.023740730251012
hilbert,ica_3,face_track,13.477297418959784
hilbert,ica_2,none,14.384319617026591
hilbert,ica_1,manual,14.596804167390031
hilbert,zca_1,mesh_forehead,14.678945527116387
hilbert,pca_3,mesh_forehead,18.789366888259767
hilbert,zca_2,mesh_forehead,18.98614732693365
hilbert,pos,none,20.488774094854207
hilbert,chrom,none,20.64377488136597
welch,ica_2,none,16.594689965328826
welch,ica_1,manual,17.101151946783943
welch,zca_1,none,18.352807928431105
welch,zca_3,manual,19.020168044223276
welch,pca_2,none,19.168932863115383
welch,g,poly,19.24608899349822
welch,ica_3,mesh_forehead,19.403711422736503
welch,pca_3,mesh_forehead,19.72213170103881
welch,zca_2,face_track,19.825287222877684
welch,r,face_track,20.062120591114798
welch,b,mesh_forehead,20.495734356476564
welch,pos,face_track,20.67166963381614
welch,grey_w,poly,20.7556761293438
welch,pca_1,poly,20.80721104809313
welch,chrom,mesh_forehead,20.889747916653132
welch,grey_a,poly,21.06154870142805
