tech,method,roi,mae,pearson_r,p_value,n
fft,ica_2,none,16.19908142701508,0.2034839250722377,7.483721030909663e-06,477
fft,zca_1,none,16.86626769098819,0.26038371676833455,7.842788557041088e-09,477
fft,ica_1,manual,17.14590246490822,0.15322655882103364,0.0007862625401711679,477
fft,zca_3,mesh_forehead,18.642386988949227,0.11593400040702681,0.011278705550816453,477
fft,g,poly,18.91178430860694,0.1856289779776736,4.606067861723942e-05,476
fft,pca_3,mesh_forehead,18.95801275954944,0.06526794848948247,0.15466330041176193,477
fft,ica_3,mesh_forehead,19.14193745026132,0.06816082469759427,0.13715266904549592,477
fft,zca_2,bbox_forehead,19.176170470963985,0.1595551628629157,0.0004687101215055364,477
fft,pca_2,none,19.391024237748013,0.1606281962413662,0.00042852558702644603,477
fft,r,face_track,20.20713550360159,0.11664944029019243,0.010781949587840373,477
fft,grey_w,poly,20.211336413698987,0.13420231709463445,0.0033512970126457105,476
fft,pos,mesh_forehead,20.533799969880647,0.5374155644227513,4.749351814154269e-37,477
fft,grey_a,poly,20.64786102147958,0.10695358482500322,0.019594942920336682,476
fft,pca_1,poly,20.776016689840326,0.09531618413454303,0.03763380411286342,476
fft,chrom,mesh_forehead,20.817103082420886,0.373940476569673,2.810104941317101e-17,477
fft,b,face_track,20.936986788077075,0.08495599741481219,0.06374607412173162,477
hilbert,g,none,10.302207778170981,0.3379091952597,2.0317716412879034e-14,485
hilbert,grey_w,none,10.849877078026228,0.3089368565426209,3.659112149124726e-12,484
hilbert,pca_2,mesh_forehead,10.961933353062236,0.4570935853175499,2.6144666495468746e-26,483
hilbert,r,none,11.191915162191204,0.35584560347200067,7.2783989507103715e-16,483
hilbert,grey_a,none,11.391472633733411,0.24635794646750328,4.003194262367213e-08,484
hilbert,b,none,11.497939644967277,0.2957239306848253,3.0314297382518516e-11,485
hilbert,pca_1,none,11.500544602793907,0.2280626259254544,3.9492249744104767e-07,484
hilbert,zca_3,poly,12.023740730251012,0.08210924178166214,0.07140300543676442,483
hilbert,ica_3,face_track,13.477297418959784,0.30005259062088674,1.7439780119711064e-11,482
hilbert,ica_2,none,14.384319617026591,0.3894828901642148,5.122227601775883e-19,485
hilbert,ica_1,manual,14.596804167390031,0.5074147364529187,4.2589818704852285e-33,485
hilbert,zca_1,mesh_forehead,14.678945527116387,0.32373355923737895,3.016230468976852e-13,483
hilbert,pca_3,mesh_forehead,18.789366888259767,0.38690689470758416,9.883256734002771e-19,484
hilbert,zca_2,mesh_forehead,18.98614732693365,0.5023941508772409,3.451962517489073e-32,482
hilbert,pos,none,20.488774094854207,0.5005614930777472,3.493584536173641e-32,486
hilbert,chrom,none,20.64377488136597,0.5256398565229077,7.077296623999224e-36,486
welch,ica_2,none,16.594689965328826,0.20377284201956383,7.259238005823493e-06,477
welch,ica_1,manual,17.101151946783943,0.2275751335704872,5.078112555182361e-07,477
welch,zca_1,none,18.352807928431105,0.22731600555364226,5.235818186399932e-07,477
welch,zca_3,manual,19.020168044223276,0.19710553816172535,1.4498959806146012e-05,477
welch,pca_2,none,19.168932863115383,0.1478279601683929,0.0012039297972938265,477
welch,g,poly,19.24608899349822,0.2278808085275015,5.03525156412035e-07,476
welch,ica_3,mesh_forehead,19.403711422736503,0.09477982181750788,0.03852248294081127,477
welch,pca_3,mesh_forehead,19.72213170103881,0.163396693915047,0.00033916945775064127,477
welch,zca_2,face_track,19.825287222877684,0.2914102768108462,8.631387244688408e-11,477
welch,r,face_track,20.062120591114798,0.16465657209299636,0.00030455185289651624,477
welch,b,mesh_forehead,20.495734356476564,0.08808179479921532,0.05455217937336635,477
welch,pos,face_track,20.67166963381614,0.34516933241806674,8.590337267097175e-15,477
welch,grey_w,poly,20.7556761293438,0.14674894558165003,0.0013242842051609102,476
welch,pca_1,poly,20.80721104809313,0.10090295163717419,0.027716551576423186,476
welch,chrom,mesh_forehead,20.889747916653132,0.3366293315476643,4.2080486703664606e-14,477
welch,grey_a,poly,21.06154870142805,0.09545924826235952,0.0373465320183396,476
