video,video_clean,tech,method,roi,mae,pearson_r,p_value,n
s28_vid_s28_T1_all_rois,S28 T1,fft,pca_3,poly,4.680861071107539,-0.017698671443904967,0.8999016082547792,53
s28_vid_s28_T1_all_rois,S28 T1,welch,pca_3,face_track,5.031377605300608,0.008559491382537733,0.9514952181737121,53
s28_vid_s28_T1_all_rois,S28 T1,hilbert,b,mesh_forehead,2.3612255077089013,0.5358978338945242,2.964942835234464e-05,54
s28_vid_s28_T2_all_rois,S28 T2,fft,r,poly,13.481376827762078,-0.05368992700772465,0.7025920531030732,53
s28_vid_s28_T2_all_rois,S28 T2,welch,g,poly,14.096096142991163,-0.03273250229019602,0.8160127909414637,53
s28_vid_s28_T2_all_rois,S28 T2,hilbert,grey_w,mesh_forehead,3.6171009967550276,0.7853992065012138,2.0390533629635303e-12,54
s28_vid_s28_T3_all_rois,S28 T3,fft,r,face_track,15.75811577944719,0.5067487261163851,0.0001079730564650053,53
s28_vid_s28_T3_all_rois,S28 T3,welch,ica_1,face_track,16.811222150424115,0.18392832335661038,0.18738017476380514,53
s28_vid_s28_T3_all_rois,S28 T3,hilbert,grey_w,manual,7.117406461405532,0.1643111907581406,0.23971838777428145,53
s34_vid_s34_T1_all_rois,S34 T1,fft,pos,manual,0.971192909375874,0.3885657969443764,0.004036805562254184,53
s34_vid_s34_T1_all_rois,S34 T1,welch,pos,manual,1.0632189599562762,0.25507018251894653,0.06528815740171307,53
s34_vid_s34_T1_all_rois,S34 T1,hilbert,zca_2,none,0.5070957629133659,0.7615978784035897,2.2809579050899938e-11,54
s34_vid_s34_T2_all_rois,S34 T2,fft,zca_3,mesh_forehead,10.742021428227902,0.35498706592945334,0.009100047959493015,53
s34_vid_s34_T2_all_rois,S34 T2,welch,ica_3,poly,11.4942285945774,0.15564151423019873,0.26576559596555266,53
s34_vid_s34_T2_all_rois,S34 T2,hilbert,r,none,9.341083052361272,0.5313169393076859,3.5687956514862717e-05,54
s34_vid_s34_T3_all_rois,S34 T3,fft,pca_3,poly,5.48617119049734,0.5538801346348297,1.6898662772393577e-05,53
s34_vid_s34_T3_all_rois,S34 T3,welch,ica_3,poly,7.1324208117533425,0.4219161682076177,0.0016513056012337087,53
s34_vid_s34_T3_all_rois,S34 T3,hilbert,ica_3,none,3.0129462390130453,0.6484417402424314,1.5198483654386321e-07,53
s9_vid_s9_T1_all_rois,S9 T1,fft,zca_1,none,18.613385804562377,-0.43337247970736104,0.0011889216499702433,53
s9_vid_s9_T1_all_rois,S9 T1,welch,zca_1,none,20.47760894120174,0.046098461648400445,0.7430827906337696,53
s9_vid_s9_T1_all_rois,S9 T1,hilbert,ica_3,face_track,4.305460905912349,0.16179092871691533,0.24710318350563207,53
s9_vid_s9_T2_all_rois,S9 T2,fft,ica_1,manual,28.495947189421315,0.24719485966495297,0.07434224469742168,53
s9_vid_s9_T2_all_rois,S9 T2,welch,r,manual,25.532805328866782,0.44106059454717284,0.0009475271379482151,53
s9_vid_s9_T2_all_rois,S9 T2,hilbert,r,manual,18.932021858393345,0.19405146887932317,0.15971808478635147,54
s9_vid_s9_T3_all_rois,S9 T3,fft,grey_a,face_track,23.37025885883688,-0.16141203292915504,0.2482266337989533,53
s9_vid_s9_T3_all_rois,S9 T3,welch,r,none,24.71072671230993,0.27171670547746773,0.04904957742820935,53
s9_vid_s9_T3_all_rois,S9 T3,hilbert,pca_2,manual,5.885366770824789,0.868764641804371,1.6986892925954738e-17,54
