Subject ID,Recording ID,ROI,Extraction Method,Signal,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s28,vid_s28_T1.avi,manual,R,,34,15.35,19.07,0.034,0.848,-11.44,15.48,-41.79,18.91,77.42,75.87,88.86,88.06,-11.44,-10.33,12.07
s28,vid_s28_T1.avi,manual,G,,34,14.12,18.31,-0.071,0.692,-11.1,14.78,-40.06,17.87,77.77,77.19,88.86,88.06,-11.1,-8.55,9.58
s28,vid_s28_T1.avi,manual,B,,34,16.82,20.35,-0.038,0.832,-14.89,14.07,-42.48,12.69,73.97,74.14,88.86,88.06,-14.89,-13.47,13.47
s28,vid_s28_T1.avi,manual,GREY_W,,34,14.82,18.8,-0.016,0.927,-11.77,14.89,-40.95,17.41,77.09,76.42,88.86,88.06,-11.77,-9.77,10.15
s28,vid_s28_T1.avi,manual,GREY_A,,34,15.49,19.23,0.005,0.979,-12.6,14.75,-41.5,16.31,76.27,75.74,88.86,88.06,-12.6,-9.89,11.23
s28,vid_s28_T1.avi,manual,PCA_1,,34,15.63,19.32,-0.008,0.964,-12.87,14.63,-41.54,15.81,76.0,75.59,88.86,88.06,-12.87,-10.19,11.21
s28,vid_s28_T1.avi,manual,PCA_2,,34,14.19,19.11,-0.087,0.627,-8.91,17.16,-42.55,24.72,79.95,80.07,88.86,88.06,-8.91,-5.19,10.58
s28,vid_s28_T1.avi,manual,PCA_3,,34,9.03,10.94,0.228,0.194,-1.16,11.04,-22.8,20.47,87.7,87.42,88.86,88.06,-1.16,0.18,9.05
s28,vid_s28_T1.avi,manual,ZCA_1,,34,11.63,16.17,-0.144,0.418,-7.9,14.32,-35.97,20.18,80.97,81.83,88.86,88.06,-7.9,-2.3,8.29
s28,vid_s28_T1.avi,manual,ZCA_2,,34,8.99,11.02,0.196,0.265,-0.89,11.15,-22.74,20.96,87.98,87.84,88.86,88.06,-0.89,0.5,8.7
s28,vid_s28_T1.avi,manual,ZCA_3,,34,9.26,11.08,0.218,0.215,-1.81,11.09,-23.55,19.94,87.06,86.43,88.86,88.06,-1.81,-0.69,9.17
s28,vid_s28_T1.avi,manual,Best_ICA_1,,34,9.15,10.97,0.227,0.197,-1.48,11.04,-23.11,20.16,87.39,87.41,88.86,88.06,-1.48,0.24,8.75
s28,vid_s28_T1.avi,manual,ICA_2,,34,10.85,13.99,-0.157,0.376,-4.66,13.39,-30.9,21.58,84.2,85.59,88.86,88.06,-4.66,-0.69,8.18
s28,vid_s28_T1.avi,manual,ICA_3,,34,13.97,19.51,-0.176,0.319,-8.44,17.85,-43.43,26.54,80.42,79.94,88.86,88.06,-8.44,-4.43,8.32
s28,vid_s28_T1.avi,manual,CHROM,,34,8.92,10.59,0.279,0.11,-0.49,10.74,-21.54,20.56,88.37,88.81,88.86,88.06,-0.49,1.65,9.09
s28,vid_s28_T1.avi,manual,POS,,34,8.72,10.1,0.412,0.015,0.56,10.24,-19.5,20.62,89.42,89.35,88.86,88.06,0.56,1.85,8.99
s28,vid_s28_T1.avi,none,R,,34,16.59,20.23,0.024,0.892,-14.5,14.33,-42.58,13.59,74.37,73.9,88.86,88.06,-14.5,-16.62,17.34
s28,vid_s28_T1.avi,none,G,,34,15.91,19.75,-0.049,0.785,-13.65,14.48,-42.04,14.74,75.22,75.21,88.86,88.06,-13.65,-14.86,16.76
s28,vid_s28_T1.avi,none,B,,34,18.73,21.71,0.064,0.718,-17.52,13.02,-43.03,8.0,71.35,70.26,88.86,88.06,-17.52,-17.81,18.25
s28,vid_s28_T1.avi,none,GREY_W,,34,16.45,20.18,-0.014,0.937,-14.49,14.26,-42.43,13.46,74.38,74.63,88.86,88.06,-14.49,-15.92,17.18
