Subject ID,Recording ID,ROI,Extraction Method,Number of Windows,MAE (bpm),RMSE (bpm),Pearson r,Pearson p,Bias (bpm),SD (bpm),LoA Lower (bpm),LoA Upper (bpm),Mean rPPG (bpm),Median rPPG (bpm),Mean Ground Truth (bpm),Median Ground Truth (bpm),Mean Error (bpm),Median Error (bpm),Median Absolute Error (bpm)
s9,vid_s9_T1.avi,manual,R,53,31.03,34.03,-0.349,0.010,-28.01,19.52,-66.27,10.25,66.68,57.0,94.69,94.4,-28.01,-36.88,36.88
s9,vid_s9_T1.avi,manual,G,53,29.91,33.15,-0.382,0.005,-26.42,20.21,-66.03,13.19,68.26,57.0,94.69,94.4,-26.42,-35.25,35.25
s9,vid_s9_T1.avi,manual,B,53,30.27,33.6,-0.383,0.005,-27.16,19.97,-66.3,11.99,67.53,57.0,94.69,94.4,-27.16,-35.25,35.25
s9,vid_s9_T1.avi,manual,GREY_W,53,29.93,33.2,-0.369,0.007,-26.82,19.75,-65.53,11.89,67.87,57.0,94.69,94.4,-26.82,-35.25,35.25
s9,vid_s9_T1.avi,manual,GREY_A,53,30.04,33.36,-0.375,0.006,-26.93,19.87,-65.87,12.01,67.75,57.0,94.69,94.4,-26.93,-35.25,35.25
s9,vid_s9_T1.avi,manual,PCA_1,53,30.04,33.36,-0.375,0.006,-26.93,19.87,-65.87,12.01,67.75,57.0,94.69,94.4,-26.93,-35.25,35.25
s9,vid_s9_T1.avi,manual,PCA_2,53,27.86,29.72,0.15,0.284,-24.22,17.4,-58.31,9.88,70.47,66.0,94.69,94.4,-24.22,-28.61,28.8
s9,vid_s9_T1.avi,manual,PCA_3,53,25.18,27.87,-0.303,0.028,-7.74,27.03,-60.73,45.24,86.94,99.0,94.69,94.4,-7.74,3.4,25.01
s9,vid_s9_T1.avi,manual,ZCA_1,53,20.39,22.4,0.152,0.278,2.39,22.49,-41.68,46.46,97.08,108.0,94.69,94.4,2.39,11.31,20.04
s9,vid_s9_T1.avi,manual,ZCA_2,53,23.44,26.49,-0.356,0.009,-5.88,26.07,-56.98,45.23,88.81,99.0,94.69,94.4,-5.88,4.26,22.65
s9,vid_s9_T1.avi,manual,ZCA_3,53,24.73,27.44,-0.222,0.109,-9.05,26.15,-60.3,42.21,85.64,99.0,94.69,94.4,-9.05,0.79,28.43
s9,vid_s9_T1.avi,manual,ICA_1,53,24.07,26.88,-0.364,0.007,-5.03,26.66,-57.27,47.22,89.66,102.0,94.69,94.4,-5.03,5.31,22.65
s9,vid_s9_T1.avi,manual,ICA_2,53,23.36,26.04,-0.085,0.545,-6.73,25.4,-56.5,43.05,87.96,102.0,94.69,94.4,-6.73,1.83,25.01
s9,vid_s9_T1.avi,manual,ICA_3,53,26.21,28.71,-0.053,0.708,-21.95,18.68,-58.57,14.67,72.74,69.0,94.69,94.4,-21.95,-28.99,28.99
s9,vid_s9_T1.avi,manual,CHROM,53,23.67,29.31,0.209,0.132,22.03,19.52,-16.23,60.29,116.72,114.0,94.69,94.4,22.03,19.37,21.96
s9,vid_s9_T1.avi,manual,POS,53,22.94,28.45,0.241,0.082,22.94,16.99,-10.36,56.23,117.62,114.0,94.69,94.4,22.94,19.2,19.2
s9,vid_s9_T1.avi,none,R,53,31.91,34.65,-0.309,0.025,-31.91,13.63,-58.64,-5.19,62.77,63.0,94.69,94.4,-31.91,-34.56,34.56
s9,vid_s9_T1.avi,none,G,53,32.84,35.32,-0.218,0.116,-32.42,14.15,-60.15,-4.7,62.26,60.0,94.69,94.4,-32.42,-34.56,34.56
s9,vid_s9_T1.avi,none,B,53,31.62,34.13,-0.066,0.638,-24.9,23.57,-71.09,21.29,69.79,66.0,94.69,94.4,-24.9,-30.88,31.78
s9,vid_s9_T1.avi,none,GREY_W,53,32.59,35.04,-0.284,0.039,-32.59,12.99,-58.04,-7.14,62.09,60.0,94.69,94.4,-32.59,-34.35,34.35
s9,vid_s9_T1.avi,none,GREY_A,53,32.75,35.19,-0.365,0.007,-31.46,15.91,-62.65,-0.27,63.23,60.0,94.69,94.4,-31.46,-34.35,34.35
s9,vid_s9_T1.avi,none,PCA_1,53,32.75,35.19,-0.365,0.007,-31.46,15.91,-62.65,-0.27,63.23,60.0,94.69,94.4,-31.46,-34.35,34.35
s9,vid_s9_T1.avi,none,PCA_2,53,23.0,26.7,0.602,<0.001,-17.88,20.02,-57.12,21.37,76.81,75.0,94.69,94.4,-17.88,-19.33,19.33
s9,vid_s9_T1.avi,none,PCA_3,53,24.38,27.02,-0.273,0.048,-1.01,27.26,-54.44,52.43,93.68,108.0,94.69,94.4,-1.01,11.39,22.43
s9,vid_s9_T1.avi,none,ZCA_1,53,19.28,22.22,-0.446,<0.001,4.31,22.01,-38.82,47.44,99.0,108.0,94.69,94.4,4.31,13.26,17.12
s9,vid_s9_T1.avi,none,ZCA_2,53,25.81,28.64,-0.363,0.008,-4.57,28.54,-60.52,51.37,90.11,108.0,94.69,94.4,-4.57,10.16,22.86
s9,vid_s9_T1.avi,none,ZCA_3,53,23.55,26.31,0.037,0.790,-4.52,26.16,-55.8,46.76,90.17,102.0,94.69,94.4,-4.52,6.54,22.86
s9,vid_s9_T1.avi,none,ICA_1,53,32.93,35.09,-0.244,0.078,-24.84,25.03,-73.89,24.22,69.85,60.0,94.69,94.4,-24.84,-34.56,34.56
s9,vid_s9_T1.avi,none,ICA_2,53,23.87,26.27,-0.111,0.429,1.14,26.49,-50.78,53.07,95.83,108.0,94.69,94.4,1.14,13.26,22.39
s9,vid_s9_T1.avi,none,ICA_3,53,21.38,24.48,-0.267,0.053,0.29,24.71,-48.14,48.73,94.98,108.0,94.69,94.4,0.29,11.39,19.2
s9,vid_s9_T1.avi,none,CHROM,53,22.26,26.46,0.307,0.026,22.26,14.45,-6.07,50.58,116.94,114.0,94.69,94.4,22.26,19.2,19.2
s9,vid_s9_T1.avi,none,POS,53,22.2,26.31,0.32,0.020,22.2,14.26,-5.75,50.15,116.89,114.0,94.69,94.4,22.2,19.03,19.03
s9,vid_s9_T1.avi,face_track,R,53,29.5,32.74,-0.304,0.027,-27.5,17.95,-62.67,7.67,67.19,66.0,94.69,94.4,-27.5,-28.84,28.84
s9,vid_s9_T1.avi,face_track,G,53,31.21,34.3,-0.246,0.076,-27.1,21.22,-68.69,14.49,67.58,63.0,94.69,94.4,-27.1,-32.1,34.43
s9,vid_s9_T1.avi,face_track,B,53,30.6,33.63,0.041,0.772,-28.23,18.44,-64.38,7.91,66.45,63.0,94.69,94.4,-28.23,-31.62,31.62
s9,vid_s9_T1.avi,face_track,GREY_W,53,31.02,34.32,-0.266,0.055,-29.14,18.3,-65.0,6.72,65.55,60.0,94.69,94.4,-29.14,-34.56,34.56
s9,vid_s9_T1.avi,face_track,GREY_A,53,30.46,33.96,-0.23,0.098,-28.35,18.88,-65.36,8.66,66.34,63.0,94.69,94.4,-28.35,-32.1,32.1
s9,vid_s9_T1.avi,face_track,PCA_1,53,30.46,33.96,-0.23,0.098,-28.35,18.88,-65.36,8.66,66.34,63.0,94.69,94.4,-28.35,-32.1,32.1
s9,vid_s9_T1.avi,face_track,PCA_2,53,31.49,33.97,-0.031,0.828,-26.99,20.82,-67.79,13.81,67.7,60.0,94.69,94.4,-26.99,-33.78,33.78
s9,vid_s9_T1.avi,face_track,PCA_3,53,20.92,23.32,-0.329,0.016,0.75,23.53,-45.37,46.86,95.43,108.0,94.69,94.4,0.75,11.09,22.05
s9,vid_s9_T1.avi,face_track,ZCA_1,53,22.71,25.31,-0.088,0.532,-6.9,24.58,-55.07,41.28,87.79,84.0,94.69,94.4,-6.9,-8.1,22.65
s9,vid_s9_T1.avi,face_track,ZCA_2,53,26.9,29.85,-0.399,0.003,-8.2,28.98,-65.0,48.61,86.49,102.0,94.69,94.4,-8.2,8.22,28.42
s9,vid_s9_T1.avi,face_track,ZCA_3,53,27.21,30.17,0.359,0.008,-26.37,14.8,-55.38,2.64,68.32,63.0,94.69,94.4,-26.37,-28.99,28.99
s9,vid_s9_T1.avi,face_track,ICA_1,53,26.49,28.89,-0.249,0.072,-9.1,27.68,-63.35,45.14,85.58,72.0,94.69,94.4,-9.1,-19.99,25.22
s9,vid_s9_T1.avi,face_track,ICA_2,53,25.8,28.45,-0.29,0.035,-6.61,27.94,-61.37,48.14,88.08,105.0,94.69,94.4,-6.61,7.67,22.86
s9,vid_s9_T1.avi,face_track,ICA_3,53,30.73,33.12,0.045,0.749,-28.12,17.66,-62.74,6.5,66.57,63.0,94.69,94.4,-28.12,-31.78,31.78
s9,vid_s9_T1.avi,face_track,CHROM,53,23.56,28.82,0.347,0.011,21.35,19.54,-16.95,59.65,116.04,114.0,94.69,94.4,21.35,18.13,19.2
s9,vid_s9_T1.avi,face_track,POS,53,23.16,28.09,0.281,0.041,23.16,16.04,-8.28,54.6,117.85,111.0,94.69,94.4,23.16,19.2,19.2
s9,vid_s9_T1.avi,bbox_forehead,R,53,27.29,30.44,0.179,0.200,-20.25,22.94,-65.22,24.72,74.43,63.0,94.69,94.4,-20.25,-34.57,34.57
s9,vid_s9_T1.avi,bbox_forehead,G,53,29.1,32.25,-0.047,0.738,-19.35,26.05,-70.4,31.71,75.34,57.0,94.69,94.4,-19.35,-35.25,35.25
s9,vid_s9_T1.avi,bbox_forehead,B,53,28.19,31.96,0.311,0.024,-25.18,19.88,-64.13,13.78,69.51,57.0,94.69,94.4,-25.18,-35.04,35.04
s9,vid_s9_T1.avi,bbox_forehead,GREY_W,53,29.36,32.55,0.27,0.050,-27.84,17.03,-61.21,5.53,66.85,57.0,94.69,94.4,-27.84,-37.51,37.51
s9,vid_s9_T1.avi,bbox_forehead,GREY_A,53,29.23,32.56,0.227,0.102,-27.1,18.21,-62.79,8.59,67.58,57.0,94.69,94.4,-27.1,-37.61,37.61
s9,vid_s9_T1.avi,bbox_forehead,PCA_1,53,29.23,32.56,0.227,0.102,-27.1,18.21,-62.79,8.59,67.58,57.0,94.69,94.4,-27.1,-37.61,37.61
s9,vid_s9_T1.avi,bbox_forehead,PCA_2,53,26.95,29.46,-0.16,0.251,-15.9,25.04,-64.98,33.19,78.79,69.0,94.69,94.4,-15.9,-23.1,26.25
s9,vid_s9_T1.avi,bbox_forehead,PCA_3,53,24.24,27.7,-0.217,0.119,2.5,27.85,-52.08,57.08,97.19,108.0,94.69,94.4,2.5,13.81,19.2
s9,vid_s9_T1.avi,bbox_forehead,ZCA_1,53,26.84,29.66,-0.199,0.154,-7.18,29.05,-64.12,49.77,87.51,105.0,94.69,94.4,-7.18,9.79,25.8
s9,vid_s9_T1.avi,bbox_forehead,ZCA_2,53,25.23,28.57,-0.024,0.866,0.12,28.84,-56.4,56.65,94.81,108.0,94.69,94.4,0.12,13.31,20.22
s9,vid_s9_T1.avi,bbox_forehead,ZCA_3,53,27.38,30.03,-0.271,0.049,0.8,30.31,-58.6,60.21,95.49,108.0,94.69,94.4,0.8,13.81,28.42
s9,vid_s9_T1.avi,bbox_forehead,ICA_1,53,23.81,27.67,0.217,0.118,-11.76,25.28,-61.32,37.79,82.92,99.0,94.69,94.4,-11.76,-3.43,26.25
s9,vid_s9_T1.avi,bbox_forehead,ICA_2,53,22.44,25.27,0.062,0.657,6.46,24.67,-41.88,54.81,101.15,108.0,94.69,94.4,6.46,14.57,18.73
s9,vid_s9_T1.avi,bbox_forehead,ICA_3,53,23.49,26.56,-0.306,0.026,-4.29,26.47,-56.17,47.58,90.4,102.0,94.69,94.4,-4.29,8.22,19.61
s9,vid_s9_T1.avi,bbox_forehead,CHROM,53,24.26,29.51,0.303,0.027,20.16,21.76,-22.48,62.8,114.85,111.0,94.69,94.4,20.16,16.64,18.75
s9,vid_s9_T1.avi,bbox_forehead,POS,53,24.96,29.41,0.313,0.022,17.67,23.73,-28.84,64.18,112.36,114.0,94.69,94.4,17.67,17.12,19.37
s9,vid_s9_T1.avi,mesh_forehead,R,53,24.32,28.01,0.168,0.228,-10.91,26.05,-61.96,40.13,83.77,78.0,94.69,94.4,-10.91,-13.95,27.88
s9,vid_s9_T1.avi,mesh_forehead,G,53,32.97,34.37,0.33,0.016,-22.4,26.31,-73.98,29.17,72.28,60.0,94.69,94.4,-22.4,-34.99,34.99
s9,vid_s9_T1.avi,mesh_forehead,B,53,35.92,37.32,-0.219,0.115,-33.22,17.18,-66.88,0.45,61.47,57.0,94.69,94.4,-33.22,-40.33,40.33
s9,vid_s9_T1.avi,mesh_forehead,GREY_W,53,33.27,34.54,0.426,0.001,-24.16,24.93,-73.02,24.7,70.53,60.0,94.69,94.4,-24.16,-35.21,35.21
s9,vid_s9_T1.avi,mesh_forehead,GREY_A,53,32.97,34.13,0.357,0.009,-23.71,24.79,-72.29,24.88,70.98,63.0,94.69,94.4,-23.71,-34.51,34.51
s9,vid_s9_T1.avi,mesh_forehead,PCA_1,53,32.85,34.05,0.407,0.003,-24.56,23.82,-71.23,22.12,70.13,63.0,94.69,94.4,-24.56,-34.51,34.51
s9,vid_s9_T1.avi,mesh_forehead,PCA_2,53,27.25,29.49,-0.225,0.105,-11.93,27.22,-65.29,41.42,82.75,72.0,94.69,94.4,-11.93,-23.6,28.65
s9,vid_s9_T1.avi,mesh_forehead,PCA_3,53,24.52,28.15,-0.205,0.141,-1.57,28.37,-57.18,54.03,93.11,108.0,94.69,94.4,-1.57,11.39,19.2
s9,vid_s9_T1.avi,mesh_forehead,ZCA_1,53,22.67,26.7,0.014,0.922,-6.33,26.19,-57.66,45.0,88.36,102.0,94.69,94.4,-6.33,3.31,19.65
s9,vid_s9_T1.avi,mesh_forehead,ZCA_2,53,24.83,28.14,-0.21,0.131,-5.82,27.79,-60.29,48.65,88.87,105.0,94.69,94.4,-5.82,7.86,22.65
s9,vid_s9_T1.avi,mesh_forehead,ZCA_3,53,30.56,33.1,-0.333,0.015,-13.57,30.48,-73.31,46.16,81.11,63.0,94.69,94.4,-13.57,-34.01,34.01
s9,vid_s9_T1.avi,mesh_forehead,ICA_1,53,22.04,25.45,0.044,0.754,2.9,25.52,-47.13,52.92,97.58,108.0,94.69,94.4,2.9,13.26,17.12
s9,vid_s9_T1.avi,mesh_forehead,ICA_2,53,32.59,34.31,0.308,0.025,-21.22,27.22,-74.57,32.14,73.47,60.0,94.69,94.4,-21.22,-34.99,35.04
s9,vid_s9_T1.avi,mesh_forehead,ICA_3,53,25.62,28.52,-0.224,0.108,-9.1,27.28,-62.58,44.37,85.58,93.0,94.69,94.4,-9.1,-1.4,27.88
s9,vid_s9_T1.avi,mesh_forehead,CHROM,53,23.65,28.02,0.309,0.024,19.6,20.22,-20.04,59.23,114.28,111.0,94.69,94.4,19.6,17.12,19.37
s9,vid_s9_T1.avi,mesh_forehead,POS,53,25.56,30.47,0.33,0.016,20.9,22.38,-22.97,64.76,115.58,114.0,94.69,94.4,20.9,19.03,22.05
s9,vid_s9_T1.avi,poly,R,53,29.65,33.86,-0.001,0.992,-23.76,24.35,-71.49,23.97,70.92,66.0,94.69,94.4,-23.76,-31.69,31.69
s9,vid_s9_T1.avi,poly,G,53,24.34,28.75,-0.421,0.002,-4.23,28.71,-60.5,52.03,90.45,108.0,94.69,94.4,-4.23,11.09,19.42
s9,vid_s9_T1.avi,poly,B,53,25.55,30.81,-0.107,0.444,-15.05,27.14,-68.25,38.15,79.64,75.0,94.69,94.4,-15.05,-16.63,22.19
s9,vid_s9_T1.avi,poly,GREY_W,53,25.83,30.41,-0.268,0.052,-8.88,29.36,-66.42,48.67,85.81,102.0,94.69,94.4,-8.88,8.09,22.8
s9,vid_s9_T1.avi,poly,GREY_A,53,26.42,31.31,-0.153,0.276,-13.57,28.48,-69.4,42.25,81.11,90.0,94.69,94.4,-13.57,-4.62,23.25
s9,vid_s9_T1.avi,poly,PCA_1,53,27.24,32.08,-0.085,0.543,-15.84,28.16,-71.03,39.36,78.85,69.0,94.69,94.4,-15.84,-22.8,25.66
s9,vid_s9_T1.avi,poly,PCA_2,53,34.33,36.76,-0.233,0.094,-32.2,17.92,-67.31,2.92,62.49,60.0,94.69,94.4,-32.2,-31.95,31.95
s9,vid_s9_T1.avi,poly,PCA_3,53,20.57,23.11,-0.368,0.007,6.46,22.4,-37.44,50.37,101.15,108.0,94.69,94.4,6.46,13.81,20.22
s9,vid_s9_T1.avi,poly,ZCA_1,53,22.13,26.36,-0.504,<0.001,0.35,26.61,-51.8,52.5,95.04,108.0,94.69,94.4,0.35,11.09,19.37
s9,vid_s9_T1.avi,poly,ZCA_2,53,21.68,24.52,-0.33,0.016,12.86,21.08,-28.46,54.18,107.55,111.0,94.69,94.4,12.86,17.12,20.22
s9,vid_s9_T1.avi,poly,ZCA_3,53,28.27,30.23,-0.034,0.807,-23.54,19.15,-61.07,13.99,71.15,66.0,94.69,94.4,-23.54,-28.8,28.8
s9,vid_s9_T1.avi,poly,ICA_1,53,20.23,22.86,-0.508,<0.001,1.71,23.02,-43.41,46.82,96.4,108.0,94.69,94.4,1.71,9.9,22.05
s9,vid_s9_T1.avi,poly,ICA_2,53,21.68,24.49,-0.33,0.016,12.86,21.05,-28.39,54.11,107.55,111.0,94.69,94.4,12.86,16.86,19.37
s9,vid_s9_T1.avi,poly,ICA_3,53,23.4,27.38,-0.466,<0.001,-1.91,27.58,-55.96,52.13,92.77,108.0,94.69,94.4,-1.91,10.16,19.37
s9,vid_s9_T1.avi,poly,CHROM,53,22.71,27.08,0.285,0.039,22.71,14.89,-6.48,51.89,117.4,114.0,94.69,94.4,22.71,19.2,19.2
s9,vid_s9_T1.avi,poly,POS,53,23.16,27.26,0.256,0.064,23.16,14.52,-5.29,51.61,117.85,114.0,94.69,94.4,23.16,20.22,20.22
s9,vid_s9_T2.avi,manual,R,53,29.16,34.6,0.386,0.004,-26.2,22.81,-70.91,18.52,63.23,60.0,89.42,92.57,-26.2,-25.47,25.47
s9,vid_s9_T2.avi,manual,G,53,32.49,37.42,0.323,0.018,-29.71,22.98,-74.75,15.34,59.72,57.0,89.42,92.57,-29.71,-29.02,29.02
s9,vid_s9_T2.avi,manual,B,53,30.56,34.97,0.358,0.009,-26.76,22.72,-71.3,17.78,62.66,60.0,89.42,92.57,-26.76,-25.64,26.99
s9,vid_s9_T2.avi,manual,GREY_W,53,30.68,35.94,0.362,0.008,-27.89,22.89,-72.75,16.96,61.53,57.0,89.42,92.57,-27.89,-25.64,25.64
